date,ruonia
12.01.2017,9.93
11.01.2017,9.97
10.01.2017,9.93
09.01.2017,10.13
29.12.2016,10.5
28.12.2016,10.47
27.12.2016,10.36
26.12.2016,10.25
23.12.2016,10.08
22.12.2016,10.18
21.12.2016,10.14
20.12.2016,10.14
19.12.2016,10.12
16.12.2016,9.98
15.12.2016,10.04
14.12.2016,10.17
13.12.2016,10.18
12.12.2016,10.16
09.12.2016,10.21
08.12.2016,10.19
07.12.2016,10.13
06.12.2016,10.13
05.12.2016,10.22
02.12.2016,10.16
01.12.2016,9.98
30.11.2016,10.09
29.11.2016,10.17
28.11.2016,10.41
25.11.2016,10.21
24.11.2016,10.1
23.11.2016,9.97
22.11.2016,10.08
21.11.2016,10.19
18.11.2016,10.1
17.11.2016,10.14
16.11.2016,10.09
15.11.2016,10.18
14.11.2016,10.2
11.11.2016,10.03
10.11.2016,10.05
09.11.2016,10.01
08.11.2016,9.37
07.11.2016,9.22
03.11.2016,9.5
02.11.2016,9.75
01.11.2016,10.04
31.10.2016,10.36
28.10.2016,10.23
27.10.2016,10.16
26.10.2016,10.17
25.10.2016,10.32
24.10.2016,10.17
21.10.2016,10.33
20.10.2016,10.35
19.10.2016,10.47
18.10.2016,10.45
17.10.2016,10.44
14.10.2016,10.47
13.10.2016,10.5
12.10.2016,10.43
11.10.2016,10.5
10.10.2016,10.46
07.10.2016,10.32
06.10.2016,10.27
05.10.2016,10.18
04.10.2016,10.21
03.10.2016,9.98
30.09.2016,10.55
29.09.2016,10.5
28.09.2016,10.28
27.09.2016,10.01
26.09.2016,9.98
23.09.2016,9.66
22.09.2016,9.71
21.09.2016,9.8
20.09.2016,10.17
19.09.2016,10.18
16.09.2016,10.62
15.09.2016,10.65
14.09.2016,10.5
13.09.2016,10.38
12.09.2016,10.4
09.09.2016,10.26
08.09.2016,10.25
07.09.2016,10.21
06.09.2016,10.31
05.09.2016,10.31
02.09.2016,10.28
01.09.2016,10.25
31.08.2016,10.3
30.08.2016,10.26
29.08.2016,10.29
26.08.2016,10.35
25.08.2016,10.28
24.08.2016,10.07
23.08.2016,10.2
22.08.2016,10.3
19.08.2016,10.28
18.08.2016,10.35
17.08.2016,10.28
16.08.2016,10.35
15.08.2016,10.33
12.08.2016,10.39
11.08.2016,10.37
10.08.2016,10.38
09.08.2016,10.39
08.08.2016,10.37
05.08.2016,10.36
04.08.2016,10.33
03.08.2016,10.33
02.08.2016,9.97
01.08.2016,10.17
29.07.2016,10.34
28.07.2016,10.46
27.07.2016,10.37
26.07.2016,10.47
25.07.2016,10.3
22.07.2016,10.08
21.07.2016,10.41
20.07.2016,10.37
19.07.2016,10.38
18.07.2016,10.44
15.07.2016,10.17
14.07.2016,10.31
13.07.2016,10.37
12.07.2016,10.31
11.07.2016,10.2
08.07.2016,10.3
07.07.2016,10.27
06.07.2016,10.16
05.07.2016,9.97
04.07.2016,9.93
01.07.2016,10.18
30.06.2016,10.41
29.06.2016,10.38
28.06.2016,10.48
27.06.2016,10.43
24.06.2016,9.95
23.06.2016,10.14
22.06.2016,10.27
21.06.2016,10.26
20.06.2016,10.42
17.06.2016,10.33
16.06.2016,10.36
15.06.2016,10.51
14.06.2016,10.32
10.06.2016,10.65
09.06.2016,10.76
08.06.2016,10.95
07.06.2016,10.66
06.06.2016,10.81
03.06.2016,11.07
02.06.2016,11.24
01.06.2016,11.24
31.05.2016,11.24
30.05.2016,11.3
27.05.2016,11.31
26.05.2016,11.28
25.05.2016,11.32
24.05.2016,11.32
23.05.2016,11.23
20.05.2016,11.24
19.05.2016,11.15
18.05.2016,11.11
17.05.2016,11.05
16.05.2016,11.42
13.05.2016,11.1
12.05.2016,11
11.05.2016,10.38
10.05.2016,10.28
06.05.2016,10.45
05.05.2016,10.96
04.05.2016,11.04
29.04.2016,11.09
28.04.2016,10.84
27.04.2016,10.54
26.04.2016,10.53
25.04.2016,10.65
22.04.2016,10.31
21.04.2016,10.32
20.04.2016,10.57
19.04.2016,11
18.04.2016,11.02
15.04.2016,10.94
14.04.2016,10.76
13.04.2016,10.63
12.04.2016,10.71
11.04.2016,10.75
08.04.2016,10.9
07.04.2016,10.83
06.04.2016,10.71
05.04.2016,10.45
04.04.2016,10.46
01.04.2016,10.95
31.03.2016,11.29
30.03.2016,11.22
29.03.2016,11.16
28.03.2016,11.31
25.03.2016,11.13
24.03.2016,10.79
23.03.2016,10.54
22.03.2016,10.56
21.03.2016,10.65
18.03.2016,10.7
17.03.2016,10.91
16.03.2016,10.89
15.03.2016,11.1
14.03.2016,11.07
11.03.2016,10.83
10.03.2016,10.86
09.03.2016,10.91
04.03.2016,10.79
03.03.2016,11.05
02.03.2016,10.9
01.03.2016,10.93
29.02.2016,10.93
26.02.2016,11.13
25.02.2016,11.05
24.02.2016,11
20.02.2016,10.87
19.02.2016,11.03
