<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RUBUSD,D,20180414,000000,0.0160440,0.0160680,0.0160440,0.0160680,8
RUBUSD,D,20180415,000000,0.0160700,0.0160800,0.0159290,0.0159290,22
RUBUSD,D,20180416,000000,0.0159290,0.0163370,0.0157870,0.0163070,244
RUBUSD,D,20180417,000000,0.0163070,0.0163630,0.0160930,0.0162010,239
RUBUSD,D,20180418,000000,0.0162000,0.0164080,0.0160970,0.0163840,243
RUBUSD,D,20180419,000000,0.0163830,0.0164380,0.0162950,0.0163650,248
RUBUSD,D,20180420,000000,0.0163340,0.0163720,0.0161920,0.0162390,243
RUBUSD,D,20180421,000000,0.0162440,0.0162440,0.0162400,0.0162400,12
RUBUSD,D,20180422,000000,0.0162720,0.0162720,0.0162530,0.0162530,8
RUBUSD,D,20180423,000000,0.0161810,0.0163400,0.0160290,0.0161200,269
RUBUSD,D,20180424,000000,0.0161110,0.0162480,0.0161100,0.0161930,261
RUBUSD,D,20180425,000000,0.0161890,0.0162100,0.0159500,0.0159720,265
RUBUSD,D,20180426,000000,0.0159680,0.0160370,0.0158320,0.0158980,248
RUBUSD,D,20180427,000000,0.0158650,0.0160690,0.0158640,0.0160400,247
RUBUSD,D,20180428,000000,0.0160380,0.0160870,0.0160260,0.0160870,19
RUBUSD,D,20180429,000000,0.0160490,0.0161290,0.0159170,0.0159310,23
RUBUSD,D,20180430,000000,0.0159310,0.0160280,0.0157840,0.0158270,282
RUBUSD,D,20180501,000000,0.0158330,0.0158380,0.0156330,0.0156660,293
RUBUSD,D,20180502,000000,0.0156660,0.0157720,0.0155380,0.0155640,293
RUBUSD,D,20180503,000000,0.0155540,0.0158540,0.0155540,0.0158160,293
RUBUSD,D,20180504,000000,0.0158260,0.0159850,0.0157020,0.0159450,292
RUBUSD,D,20180505,000000,0.0159590,0.0159590,0.0159270,0.0159480,18
RUBUSD,D,20180506,000000,0.0159500,0.0159500,0.0159190,0.0159310,14
RUBUSD,D,20180507,000000,0.0158850,0.0159860,0.0158240,0.0158450,245
RUBUSD,D,20180508,000000,0.0158440,0.0158930,0.0156690,0.0157680,247
RUBUSD,D,20180509,000000,0.0157630,0.0158350,0.0155960,0.0158250,247
RUBUSD,D,20180510,000000,0.0157940,0.0161860,0.0157880,0.0161390,243
RUBUSD,D,20180511,000000,0.0161250,0.0162140,0.0160760,0.0160990,247
RUBUSD,D,20180512,000000,0.0161010,0.0161090,0.0161010,0.0161020,19
RUBUSD,D,20180513,000000,0.0161020,0.0162050,0.0160850,0.0162050,16
RUBUSD,D,20180514,000000,0.0161850,0.0161940,0.0160370,0.0161180,291
RUBUSD,D,20180515,000000,0.0161080,0.0161360,0.0158870,0.0160000,294
RUBUSD,D,20180516,000000,0.0160100,0.0161760,0.0159180,0.0161500,241
RUBUSD,D,20180517,000000,0.0161510,0.0161810,0.0160270,0.0160310,240
RUBUSD,D,20180518,000000,0.0160320,0.0161200,0.0159080,0.0159830,243
RUBUSD,D,20180519,000000,0.0159840,0.0160260,0.0159840,0.0159970,9
RUBUSD,D,20180520,000000,0.0160210,0.0160210,0.0159910,0.0159910,18
RUBUSD,D,20180521,000000,0.0159910,0.0162020,0.0159100,0.0161950,294
RUBUSD,D,20180522,000000,0.0161930,0.0163530,0.0161530,0.0162810,293
RUBUSD,D,20180523,000000,0.0162880,0.0162880,0.0161390,0.0162560,294
RUBUSD,D,20180524,000000,0.0162570,0.0162620,0.0161630,0.0161930,293
RUBUSD,D,20180525,000000,0.0161830,0.0162100,0.0159920,0.0160130,293
RUBUSD,D,20180526,000000,0.0160710,0.0160710,0.0160220,0.0160220,18
RUBUSD,D,20180527,000000,0.0160040,0.0160920,0.0160040,0.0160220,23
RUBUSD,D,20180528,000000,0.0160670,0.0160670,0.0159540,0.0159960,292
RUBUSD,D,20180529,000000,0.0160000,0.0160250,0.0158420,0.0158560,243
RUBUSD,D,20180530,000000,0.0158530,0.0160780,0.0158470,0.0160530,244
RUBUSD,D,20180531,000000,0.0160540,0.0160910,0.0159460,0.0159770,257
RUBUSD,D,20180601,000000,0.0159700,0.0160870,0.0159570,0.0160150,294
RUBUSD,D,20180602,000000,0.0160260,0.0160260,0.0160220,0.0160220,12
RUBUSD,D,20180603,000000,0.0160780,0.0160780,0.0160690,0.0160690,13
RUBUSD,D,20180604,000000,0.0160950,0.0161240,0.0160170,0.0160630,289
RUBUSD,D,20180605,000000,0.0160590,0.0161120,0.0159660,0.0160350,251
