date,curs
26/10/2017,57.6140
27/10/2017,57.7643
28/10/2017,58.0833
31/10/2017,57.8716
01/11/2017,58.1179
02/11/2017,58.1557
03/11/2017,58.0869
04/11/2017,58.4296
08/11/2017,58.4557
09/11/2017,59.2480
10/11/2017,59.2527
11/11/2017,59.2808
14/11/2017,59.1823
15/11/2017,59.6207
16/11/2017,60.2490
17/11/2017,59.9898
18/11/2017,59.6325
21/11/2017,59.2746
22/11/2017,59.4604
23/11/2017,59.0061
24/11/2017,58.4622
25/11/2017,58.5318
28/11/2017,58.2773
29/11/2017,58.4125
30/11/2017,58.3311
01/12/2017,58.5814
02/12/2017,58.5182
05/12/2017,58.9911
06/12/2017,58.6924
07/12/2017,58.9281
08/12/2017,59.2948
09/12/2017,59.2811
12/12/2017,59.2348
13/12/2017,58.8370
14/12/2017,59.1446
15/12/2017,58.7082
16/12/2017,58.8987
19/12/2017,58.6940
20/12/2017,58.6117
21/12/2017,58.7170
22/12/2017,58.5596
23/12/2017,58.3152
26/12/2017,58.1989
27/12/2017,57.7343
28/12/2017,57.4544
29/12/2017,57.6291
30/12/2017,57.6002
10/01/2018,57.0463
11/01/2018,56.8734
12/01/2018,56.9957
13/01/2018,56.6019
16/01/2018,56.3569
17/01/2018,56.3878
18/01/2018,56.5925
19/01/2018,56.7597
20/01/2018,56.5892
23/01/2018,56.6261
24/01/2018,56.4115
25/01/2018,56.3888
26/01/2018,55.9288
27/01/2018,55.8288
30/01/2018,56.2908
31/01/2018,56.2914
01/02/2018,56.1840
02/02/2018,56.2613
03/02/2018,56.0408
06/02/2018,56.6278
07/02/2018,57.2196
08/02/2018,56.9533
09/02/2018,57.6736
10/02/2018,58.1718
13/02/2018,58.0171
14/02/2018,57.7701
15/02/2018,57.5899
16/02/2018,56.5918
17/02/2018,56.3554
20/02/2018,56.3438
21/02/2018,56.5201
22/02/2018,56.6537
23/02/2018,56.7608
27/02/2018,55.9208
28/02/2018,55.6717
01/03/2018,56.3742
02/03/2018,56.4334
03/03/2018,56.6616
06/03/2018,57.1000
07/03/2018,56.5041
08/03/2018,56.8011
13/03/2018,56.6122
14/03/2018,56.9359
